"year","keyword","LL","total.word","o1","o2","e1","e2","Repeats","Rank"
"2010","imma",688.662386049409,302,252,50,46.4967426414938,255.503257358506,FALSE,1
"2010","like",309.112104325974,10949,2383,8566,1685.73786484012,9263.26213515988,FALSE,2
"2010","bitch",288.527012717887,590,265,325,90.8380071472892,499.161992852711,FALSE,3
"2010","rack",278.227616525237,84,81,3,12.9328688141903,71.0671311858097,FALSE,4
"2010","fuck",258.290974056998,631,266,365,97.1504788304059,533.849521169594,FALSE,5
"2010","wiggle",224.722791754123,115,90,25,17.7057132575225,97.2942867424775,FALSE,6
"2010","go low",218.557626098991,65,63,2,10.0075770585997,54.9924229414003,FALSE,7
"2010","hands",194.119104301907,1018,336,682,156.734053010069,861.265946989931,FALSE,8
"2010","put hands",191.842112519523,193,114,79,29.7148057278421,163.285194272158,FALSE,9
"2010","whoa oh",182.571738443252,160,100,60,24.634035836553,135.365964163447,FALSE,10
"2010","money",174.200147050306,1142,354,788,175.825430783397,966.174569216603,FALSE,11
"2010","bass",173.879934084876,174,103,71,26.7895139722514,147.210486027749,FALSE,12
"2010","oh whoa",172.989504501394,111,79,32,17.0898623616086,93.9101376383913,FALSE,13
"2010","bitches",169.84339023444,276,135,141,42.4937118180539,233.506288181946,FALSE,14
"2010","em dont",152.754136838247,52,48,4,8.00606164687973,43.9939383531203,FALSE,15
"2010","solo",151.443094573622,92,67,25,14.164570606018,77.835429393982,FALSE,16
"2010","just wanna see",148.170948687283,53,48,5,8.16002437085818,44.8399756291418,FALSE,17
"2010","niggas",143.529812528488,392,159,233,60.3533877995549,331.646612200445,FALSE,18
"2010","like diamond",143.341576809312,47,44,3,7.23624802698745,39.7637519730126,FALSE,19
"2010","aah",137.836793478661,190,99,91,29.2529175559067,160.747082444093,FALSE,20
"2010","burn",136.51686145985,335,141,194,51.5775125327829,283.422487467217,FALSE,21
"2010","low can",127.766845302602,45,41,4,6.92832257903053,38.0716774209695,FALSE,22
"2010","animals",126.123971684807,55,46,9,8.4679498188151,46.5320501811849,FALSE,23
"2010","whoa",125.573078665702,687,224,463,105.772391373199,581.2276086268,FALSE,24
"2010","yo hands",124.213138940573,44,40,4,6.77435985505208,37.2256401449479,FALSE,25
"2000","wit",775.353562815036,765,576,189,205.850550717534,559.149449282466,FALSE,1
"2000","club",524.489064021643,612,437,175,164.680440574027,447.319559425973,FALSE,2
"2000","like",382.322059869254,10949,3880,7069,2946.21918928925,8002.78081071075,FALSE,3
"2000","bum",348.58352733754,160,153,7,43.053709953994,116.946290046006,FALSE,4
"2000","girl",332.345312302727,4804,1875,2929,1292.68764136867,3511.31235863133,FALSE,5
"2000","shit",316.337127935634,896,494,402,241.100775742366,654.899224257634,FALSE,6
"2000","go head",312.849265005101,149,141,8,40.0937673946569,108.906232605343,FALSE,7
"2000","shorty",311.79669625907,202,174,28,54.3553088169174,147.644691183083,FALSE,8
"2000","ima",310.672155115671,371,263,108,99.8307899558235,271.169210044177,FALSE,9
"2000","ass",303.617117301655,629,378,251,169.254897256639,459.745102743361,FALSE,10
"2000","pop",292.279672073253,394,269,125,106.01976076171,287.98023923829,FALSE,11
"2000","gon",279.439883759508,705,401,304,189.705409484786,515.294590515214,FALSE,12
"2000","lil",273.03703499224,226,180,46,60.8133653100165,165.186634689984,FALSE,13
"2000","dem",272.892411982219,241,188,53,64.8496506182034,176.150349381797,FALSE,14
"2000","aint",244.138508944181,3592,1398,2194,966.555788467164,2625.44421153284,FALSE,15
"2000","wee",240.727190292507,152,132,20,40.9010244562943,111.098975543706,FALSE,16
"2000","bay",235.990248246662,169,141,28,45.4754811389061,123.524518861094,FALSE,17
"2000","nigga",231.510011927216,790,415,375,212.577692897845,577.422307102155,FALSE,18
"2000","thong",213.111635801334,90,88,2,24.2177118491216,65.7822881508784,FALSE,19
"2000","get",195.168373477584,8265,2801,5464,2223.993204811,6041.006795189,FALSE,20
"2000","boy",193.59599071985,1613,694,919,434.035213473702,1178.9647865263,FALSE,21
"2000","damn",186.472160359097,486,274,212,130.775643985257,355.224356014743,FALSE,22
"2000","drop",183.129906539878,417,244,173,112.208731567597,304.791268432403,FALSE,23
"2000","big boy",175.240266663103,88,82,6,23.6795404746967,64.3204595253033,FALSE,24
"2000","hips",174.058156714666,152,119,33,40.9010244562943,111.098975543706,FALSE,25
"1970","boogie",679.484073694997,313,247,66,42.8333901468896,270.16660985311,FALSE,1
"1970","love",366.041445099586,15283,2946,12337,2091.44633103807,13191.5536689619,FALSE,2
"1970","woman",238.135431255985,796,282,514,108.930921907106,687.069078092894,FALSE,3
"1970","doo",234.363838950797,285,148,137,39.0016491752829,245.998350824717,FALSE,4
"1970","ron",227.832758815524,71,66,5,9.71620032085995,61.2837996791401,FALSE,5
"1970","float",193.957968510976,86,69,17,11.7689186985064,74.2310813014936,FALSE,6
"1970","band",191.280997523547,195,109,86,26.6853389094041,168.314661090596,FALSE,7
"1970","yes can",189.322952173648,81,66,15,11.0846792392909,69.9153207607091,FALSE,8
"1970","willy",188.308049635795,56,53,3,7.66348194321348,48.3365180567865,FALSE,9
"1970","funk",181.185861240142,206,110,96,28.1906657196782,177.809334280322,FALSE,10
"1970","lord",179.404108099144,359,153,206,49.1283931716722,309.871606828328,FALSE,11
"1970","disco",162.679683008983,109,73,36,14.9164202108977,94.0835797891023,FALSE,12
"1970","sweet",144.583490219385,1136,310,826,155.459205133759,980.540794866241,FALSE,13
"1970","louie",140.22869921809,56,47,9,7.66348194321348,48.3365180567865,FALSE,14
"1970","dancing",130.948060138064,362,137,225,49.5389368472014,312.461063152799,FALSE,15
"1970","dit",128.597730405761,186,90,96,25.4537078828162,160.546292117184,FALSE,16
"1970","like makin",128.117799436256,38,36,2,5.20021989003772,32.7997801099623,FALSE,17
"1970","morning",125.271675619089,509,169,340,69.6555769481368,439.344423051863,FALSE,18
"1970","jazz",117.870225050053,44,38,6,6.02130724109631,37.9786927589037,FALSE,19
"1970","bell",115.921033313307,83,54,29,11.3583750229771,71.6416249770229,FALSE,20
"1970","ole",114.315245908215,45,38,7,6.15815513293941,38.8418448670606,FALSE,21
"1970","mighty",111.599431105533,94,57,37,12.8637018332512,81.1362981667488,FALSE,22
"1970","ring bell",111.497221710061,36,33,3,4.92652410635153,31.0734758936485,FALSE,23
"1970","gimme",106.330136525496,386,133,253,52.8232862514358,333.176713748564,FALSE,24
"1970","fever",104.463211153853,73,48,25,9.98989610454615,63.0101038954538,FALSE,25
"1960","can dig",437.496048218769,106,92,14,6.33066697964464,99.6693330203554,FALSE,1
"1960","dig",363.23629438365,207,113,94,12.3627175923249,194.637282407675,FALSE,2
"1960","oh happy",182.812498076268,41,37,4,2.44865420910783,38.5513457908922,FALSE,3
"1960","miles",127.425118224839,169,59,110,10.0932332033957,158.906766796604,FALSE,4
"1960","coal",126.860898957637,34,28,6,2.03059129535771,31.9694087046423,FALSE,5
"1960","writer",122.203173521539,28,25,3,1.67225165500047,26.3277483449995,FALSE,6
"1960","help",115.89930328487,765,131,634,45.6883041455486,719.311695854452,FALSE,7
"1960","im black",110.418676951013,40,28,12,2.38893093571496,37.611069064285,FALSE,8
"1960","monday",105.241472113486,83,38,45,4.95703169160854,78.0429683083915,FALSE,9
"1960","mine",104.177849892412,1033,153,880,61.6941414148388,971.305858585161,FALSE,10
"1960","lovin",101.803883737647,625,110,515,37.3270458705462,587.672954129454,FALSE,11
"1960","im proud",100.236713874146,45,28,17,2.68754730267933,42.3124526973207,FALSE,12
"1960","baby",99.649102667308,9098,783,8315,543.362341328367,8554.63765867163,FALSE,13
"1960","sweet",98.4212738701784,1136,160,976,67.8456385743048,1068.1543614257,FALSE,14
"1960","good lovin",96.3700463477732,55,30,25,3.28478003660807,51.7152199633919,FALSE,15
"1960","inspiration",95.563321372141,44,27,17,2.62782402928645,41.3721759707135,FALSE,16
"1960","green",94.4018454140014,170,51,119,10.1529564767886,159.847043523211,FALSE,17
"1960","make mine",93.1068430943222,66,32,34,3.94173604392968,62.0582639560703,FALSE,18
"1960","proud",87.5725874159397,143,45,98,8.54042809518097,134.459571904819,FALSE,19
"1960","light fire",86.9735183264709,38,24,14,2.26948438892921,35.7305156110708,FALSE,20
"1960","gonna make mine",85.3696970991751,26,20,6,1.55280510821472,24.4471948917853,FALSE,21
"1960","mia",82.8140077132597,30,21,9,1.79169820178622,28.2083017982138,FALSE,22
"1960","valley",82.3803432304739,57,28,29,3.40422658339381,53.5957734166062,FALSE,23
"1960","judge",81.8182859522244,62,29,33,3.70284295035818,58.2971570496418,FALSE,24
"1960","paperback",81.0797245188142,22,18,4,1.31391201464323,20.6860879853568,FALSE,25
"1990","pump",309.664690295259,208,163,45,44.1260967533426,163.873903246657,FALSE,1
"1990","cuerpo",240.033485016842,97,91,6,20.5780355051646,76.4219644948354,FALSE,2
"1990","will",198.246866932868,3611,1129,2482,766.054497001539,2844.94550299846,FALSE,3
"1990","ever needed",163.27285206222,60,58,2,12.7286817557719,47.2713182442281,FALSE,4
"1990","jam",163.093236642062,164,111,53,34.7917301324432,129.208269867557,FALSE,5
"1990","dip",155.577573106086,166,110,56,35.2160195243022,130.783980475698,FALSE,6
"1990","hmm",146.957518906162,96,76,20,20.365890809235,75.634109190765,FALSE,7
"1990","dont hurt",128.470880766295,66,57,9,14.0015499313491,51.9984500686509,FALSE,8
"1990","ill",125.588936075364,4216,1203,3013,894.402038038905,3321.59796196109,FALSE,9
"1990","uhh",123.674652279024,106,76,30,22.4873377685304,83.5126622314696,FALSE,10
"1990","go let",122.661105734929,141,91,50,29.912402126064,111.087597873936,FALSE,11
"1990","ever",119.090421151536,2130,668,1462,451.868202329902,1678.1317976701,FALSE,12
"1990","hip",117.943306228829,132,86,46,28.0030998626982,103.996900137302,FALSE,13
"1990","whoop",112.83657871098,75,59,16,15.9108521947149,59.0891478052851,FALSE,14
"1990","kick",111.040346481847,329,156,173,69.7956049608159,259.204395039184,FALSE,15
"1990","dah",110.588755191584,66,54,12,14.0015499313491,51.9984500686509,FALSE,16
"1990","power",109.804337370354,246,127,119,52.1875951986648,193.812404801335,FALSE,17
"1990","di da",108.312842580837,52,46,6,11.0315241883356,40.9684758116644,FALSE,18
"1990","jumps",107.889073907446,47,43,4,9.97080070868799,37.029199291312,FALSE,19
"1990","slide",105.023898136472,143,87,56,30.336691517923,112.663308482077,FALSE,20
"1990","takes two",97.8965985705781,46,41,5,9.75865601275846,36.2413439872415,FALSE,21
"1990","shake body",97.5722991534645,57,47,10,12.0922476679833,44.9077523320167,FALSE,22
"1990","want",96.740981725006,6214,1644,4570,1318.26714050611,4895.73285949389,FALSE,23
"1990","cuz",96.6536435726712,293,138,155,62.1583959073528,230.841604092647,FALSE,24
"1990","diggin",94.9948717186045,85,60,25,18.0322991540102,66.9677008459898,FALSE,25
"1980","love",209.175743799596,15283,3262,12021,2571.1466255768,12711.8533744232,FALSE,1
"1980","night",191.436829911508,3598,935,2663,605.312148061593,2992.68785193841,FALSE,2
"1980","heart",161.608571436378,2871,754,2117,483.004774064712,2387.99522593529,FALSE,3
"1980","shes",137.10078433404,1432,420,1012,240.913561985604,1191.0864380144,FALSE,4
"1980","tonight",135.866745668772,1587,454,1133,266.990099770358,1320.00990022964,FALSE,5
"1980","mickey",135.641968709505,47,44,3,7.90707919924816,39.0929208007518,FALSE,6
"1980","ive",135.457394258062,2652,684,1968,446.161149710769,2205.83885028923,FALSE,7
"1980","seeds",128.469805864367,54,47,7,9.08472929275321,44.9152707072468,FALSE,8
"1980","monkey",123.00237202933,79,58,21,13.2906224838427,65.7093775161573,FALSE,9
"1980","time",120.716233638105,5176,1179,3997,870.788126283159,4305.21187371684,FALSE,10
"1980","love just",120.683667187205,290,129,161,48.7883610166376,241.211638983362,FALSE,11
"1980","gloria",120.31718016826,40,38,2,6.72942910574312,33.2705708942569,FALSE,12
"1980","much",119.530551670777,1552,434,1118,261.101849302833,1290.89815069717,FALSE,13
"1980","tumble",118.516824524499,42,39,3,7.06590056103027,34.9340994389697,FALSE,14
"1980","hearts",117.326154398499,322,137,185,54.1719043012321,267.828095698768,FALSE,15
"1980","kick em",117.256804457699,44,40,4,7.40237201631743,36.5976279836826,FALSE,16
"1980","material",112.108175630271,49,42,7,8.24355065453532,40.7564493454647,FALSE,17
"1980","stand",111.777415574875,804,258,546,135.261525025437,668.738474974563,FALSE,18
"1980","america",110.503182669762,64,49,15,10.767086569189,53.232913430811,FALSE,19
"1980","heat",109.382579222712,210,101,109,35.3295028051514,174.670497194849,FALSE,20
"1980","cherish",103.008751135723,84,56,28,14.1318011220605,69.8681988779394,FALSE,21
"1980","medicine",102.284554611668,48,40,8,8.07531492689174,39.9246850731083,FALSE,22
"1980","whos",102.13782171936,457,167,290,76.8837275331151,380.116272466885,FALSE,23
"1980","new love",101.483962777162,37,34,3,6.22472192281238,30.7752780771876,FALSE,24
"1980","got look",99.3531002064435,43,37,6,7.23413628867385,35.7658637113261,FALSE,25
